"CODIGO DE MUNICIPIO","MUNICIPIO","DEPARTAMENTO","MORTALIDAD POR OBESIDAD","MORTALIDAD POR CANCER","MORTALIDAD POR CARDIOVASCULAR","MORTALIDAD POR HIPERTENSION","MORTALIDAD POR DIABETES","MORTALIDAD POR ENFERMEDADES RESPIRATORIAS","MORTALIDAD POR CONSUMO DE ALCOHOL","MORTALIDAD POR CONSUMO DE DROGAS ILICITAS","MORTALIDAD POR ACCIDENTES DE TRANSPORTE","HOMICIDIOS","MORTALIDAD POR ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICION A SUSTANCIAS NOCIVAS",""
"41807","Huila","Timaná","","0018","0030","0008","0003","0019","","","0002","0006","",""
"41872","Huila","Villavieja","","0012","0016","0003","0002","0004","","","0005","","",""
"41885","Huila","Yaguará","","0010","0009","0004","0002","0003","","","0001","0001","",""
"44001","La Guajira","Riohacha","0001","0074","0072","0023","0025","0055","","","0027","0052","",""
"44035","La Guajira","Albania","","0002","0007","0001","0001","0002","","","0001","0003","",""
"44078","La Guajira","Barrancas","","0007","0021","0001","0006","0007","","","0002","0007","",""
"44090","La Guajira","Dibulla","","0005","0005","0002","0001","0002","","","0012","0002","",""
"44098","La Guajira","Distracción","","0002","0008","","","","","","","","",""
"44110","La Guajira","El Molino","","0004","0001","","","0002","","","","","",""
"44279","La Guajira","Fonseca","","0020","0019","0016","0008","0010","","","0008","0009","",""
"44378","La Guajira","Hatonuevo","","0005","0008","0002","0001","0002","","","0007","0002","",""
"44420","La Guajira","La Jagua del Pilar","","","0001","0001","0001","","","","","","",""
"44430","La Guajira","Maicao","","0039","0020","0004","0012","0046","","","0027","0081","",""
"44560","La Guajira","Manaure","","0006","0002","","0003","0004","","","0003","0003","",""
"44650","La Guajira","San Juan del Cesar","0001","0035","0032","0004","0007","0017","","","0006","0005","",""
"44847","La Guajira","Uribia","","0004","0008","0001","0001","0015","","","0004","0008","",""
"44855","La Guajira","Urumita","","0006","0009","0002","0002","0002","","","","0003","",""
"44874","La Guajira","Villanueva","","0022","0021","0002","0003","0005","","","0001","0001","",""
"47001","Magdalena","Santa Marta","0002","0355","0463","0076","0107","0298","0002","","0093","0082","0002",""
"47030","Magdalena","Algarrobo","","0003","0003","0001","","0002","","","0002","","",""
"47053","Magdalena","Aracataca","","0022","0028","0005","0002","0016","","","0006","0007","",""
"47058","Magdalena","Ariguaní","","0012","0027","0002","0005","0002","","","","0002","",""
"47161","Magdalena","Cerro San Antonio","","0008","0002","","","0002","","","0001","0001","",""
"47170","Magdalena","Chivolo","","0006","0008","0003","0003","0006","","","","0001","",""
"47189","Magdalena","Ciénaga","","0077","0134","0014","0011","0066","","","0026","0033","",""
"47205","Magdalena","Concordia","","0006","0025","0001","0002","","","","","","",""
"47245","Magdalena","El Banco","","0027","0043","0007","0008","0037","","","0017","0012","",""
"47258","Magdalena","El Piñon","","0005","0017","0006","0002","0026","","","","","",""
"47268","Magdalena","El Retén","","0010","0023","0004","0003","0011","","","0001","0002","",""
"47288","Magdalena","Fundación","","0034","0042","0008","0007","0038","","","0010","0015","",""
"47318","Magdalena","Guamal","","0016","0044","0001","0003","0010","","","0002","0003","",""
"47460","Magdalena","Nueva Granada","","0001","0005","0002","0004","0002","","","0001","0001","",""
"47541","Magdalena","Pedraza","","0004","0004","0002","","0001","","","","0001","",""
"47545","Magdalena","Pijiño del Carmen","","","0007","","0001","0001","","","","","",""
"47551","Magdalena","Pivijay","","0026","0043","0004","0004","0022","","","0001","0001","",""
"47555","Magdalena","Plato","","0027","0071","0003","0010","0026","","","0004","0016","",""
"47570","Magdalena","Puebloviejo","","0015","0018","","","0008","","","0003","0002","",""
"47605","Magdalena","Remolino","","","0002","0001","","0004","","","","0001","",""
"47660","Magdalena","Sabanas de San Angel","","0001","0004","","","0001","","","","","",""
"47675","Magdalena","Salamina","","0004","0004","0002","","0030","","","0002","","",""
"47692","Magdalena","San Sebastián de Buenavista","","0012","0020","0001","0003","0004","","","0001","","",""
"47703","Magdalena","San Zenón","","0006","0006","0004","0001","0001","","","","","",""
"47707","Magdalena","Santa Ana","","0008","0024","0004","0003","0005","","","0001","0001","",""
"47720","Magdalena","Santa Bárbara de Pinto","","0005","0008","0002","0001","0002","","","0001","","",""
"47745","Magdalena","Sitionuevo","","0013","0016","0001","0001","0005","","","0002","0002","",""
"47798","Magdalena","Tenerife","","0011","0011","","0002","0006","","","","","",""
"47960","Magdalena","Zapayán","0001","0004","0003","0006","0002","","","","","","",""
"47980","Magdalena","Zona Bananera","0001","0021","0044","0002","0008","0028","","","0016","0007","",""
"50001","Meta","Villavicencio","0001","0461","0465","0120","0128","0267","0010","","0147","0164","0001",""
"50006","Meta","Acacías","","0052","0094","0016","0018","0027","0002","","0036","0022","",""
"50110","Meta","Barranca de Upía","","0003","0006","","0002","","","","","","",""
"50124","Meta","Cabuyaro","","0003","0005","","","","","","0001","","",""
"50150","Meta","Castilla la Nueva","","0009","0004","0006","0002","0001","","","0004","0001","",""
"50223","Meta","Cubarral","","0003","0006","0003","0005","0005","","","","","",""
"50226","Meta","Cumaral","","0015","0023","0002","","0008","","","0005","0003","",""
"50245","Meta","El Calvario","","0001","","","","0002","","","","","",""
"50251","Meta","El Castillo","","0005","0005","0004","0001","0005","","","0002","","",""
"50270","Meta","El Dorado","","0003","0004","","","0001","","","0002","","",""
"50287","Meta","Fuente de Oro","","0008","0009","0008","0001","0011","","","0003","0002","",""
"50313","Meta","Granada","","0030","0085","0011","0018","0041","0001","","0022","0019","",""
"50318","Meta","Guamal","","0005","0011","0001","0003","0004","","","0004","0001","",""
"50325","Meta","Mapiripán","","0003","0004","","0001","0001","","","","0003","",""
"50330","Meta","Mesetas","","0007","0011","0004","0002","0003","","","0003","0003","",""
"50350","Meta","La Macarena","","0005","0007","0001","0003","","","","0001","0002","",""
"50370","Meta","Uribe","","0002","0008","","","0007","","","","0002","",""
"50400","Meta","Lejanías","","0009","0020","","","0002","","","0002","0001","",""
"50450","Meta","Puerto Concordia","","0002","0011","","0001","0003","","","0001","0001","",""
"50568","Meta","Puerto Gaitán","","0009","0024","","0007","0007","","","0003","0017","",""
"50573","Meta","Puerto López","","0020","0027","0006","0009","0020","0001","","0014","0013","",""
"50577","Meta","Puerto Lleras","","0006","0005","0005","0002","0002","","","0002","0002","",""
"50590","Meta","Puerto Rico","","0007","0009","0003","","0006","","","0002","0003","",""
"50606","Meta","Restrepo","","0017","0012","0001","0004","0012","","","0001","","",""
"50680","Meta","San Carlos de Guaroa","","0008","0006","0002","0003","","","","0007","0001","",""
"50683","Meta","San Juan de Arama","","0007","0009","0001","","0003","","","0002","0004","",""
"50686","Meta","San Juanito","","","0001","","","","","","","","",""
"50689","Meta","San Martín","","0014","0022","0010","0005","0012","","","0001","0001","",""
"50711","Meta","Vistahermosa","","0010","0024","0003","0003","0013","","","0003","0011","",""
"52001","Nariño","Pasto","0001","0462","0292","0088","0056","0217","0001","","0083","0082","0005",""
"52019","Nariño","Albán","","0009","0004","0001","0002","0001","","","0001","0002","",""
"52022","Nariño","Aldana","","0009","0003","0005","","0004","","","","","",""
"52036","Nariño","Ancuyá","","0013","0015","0006","0001","0012","0001","","0001","","",""
"52051","Nariño","Arboleda","","0008","0013","0002","0002","0004","","","","","",""
"52079","Nariño","Barbacoas","","0007","0001","0005","0002","0009","","","0001","0009","",""
"52083","Nariño","Belén","","0007","0009","","0001","0002","","","","0003","",""
"52110","Nariño","Buesaco","","0018","0021","0009","0003","0016","","","0003","0001","",""
"52203","Nariño","Colón","","0007","0020","0003","","0002","","","","0006","",""
"52207","Nariño","Consaca","","0013","0007","0003","0001","0009","","","0001","0002","",""
"52210","Nariño","Contadero","","0003","0001","0002","","0006","","","","0001","",""
"52215","Nariño","Córdoba","","0014","0029","0007","0002","0006","","","0001","0006","",""
"52224","Nariño","Cuaspud","","0006","0009","0002","","0007","","","0001","","",""
"52227","Nariño","Cumbal","","0019","0011","0008","0002","0015","","","0008","0006","0001",""
"52233","Nariño","Cumbitara","","0005","0001","","0001","0002","","","0002","0003","",""
"52240","Nariño","Chachagüí","","0008","0013","0001","0002","0005","","","0003","0001","",""
"52250","Nariño","El Charco","","0002","0007","0001","0001","0009","","","","0007","",""
"52254","Nariño","El Peñol","","0007","0008","0001","0001","0001","","","0003","0003","",""
"52256","Nariño","El Rosario","","0001","0001","0001","0001","0001","","","0004","0008","",""
"52258","Nariño","El Tablón de Gómez","","0005","0003","0001","0002","","","","","0002","",""
"52260","Nariño","El Tambo","","0019","0031","0007","0002","0015","","","","0005","",""
"52287","Nariño","Funes","","0005","0007","0003","","0012","","","0001","0001","",""
"52317","Nariño","Guachucal","","0008","0021","0006","0002","0008","","","0008","0002","",""
"52320","Nariño","Guaitarilla","","0015","0014","0006","0002","0006","","","0003","0005","",""
"52323","Nariño","Gualmatán","","0011","0006","","0001","0002","","","0001","","",""
"52352","Nariño","Iles","","0007","0003","0005","0001","0001","","","0005","0002","",""
"52354","Nariño","Imués","","0010","0007","0004","0001","0005","","","0002","0001","",""
"52356","Nariño","Ipiales","","0073","0110","0017","0019","0042","0001","","0029","0031","0001",""
"52378","Nariño","La Cruz","","0012","0020","0011","0002","0011","","","0003","0006","",""
"52381","Nariño","La Florida","","0003","0008","0008","0003","0003","","","","0002","",""
"52385","Nariño","La Llanada","","0005","0005","0001","0001","0004","","","0001","","",""
"52390","Nariño","La Tola","","","0001","","0001","","","","0001","0001","",""
"52399","Nariño","La Unión","","0031","0029","0010","0008","0023","","","0004","0009","",""
"52405","Nariño","Leiva","","0006","0003","","0001","0002","","","","0005","0001",""
"52411","Nariño","Linares","","0012","0019","","","0002","","","","","",""
"52418","Nariño","Los Andes","","0009","0009","0002","0001","0006","","","0001","0001","",""
"52427","Nariño","Magüi","","0001","","","0001","0001","","","","0001","",""
"52435","Nariño","Mallama","","0010","0009","0007","","0003","","","0004","","",""
"52473","Nariño","Mosquera","","0002","0004","0001","0001","0002","","","0001","0003","",""
"52480","Nariño","Nariño","","0010","0003","0001","","","","","0001","0001","",""
"52490","Nariño","Olaya Herrera","","0003","","","","0004","","","0001","0008","",""
"52506","Nariño","Ospina","","0004","0004","0002","0002","0010","0001","","","","",""
"52520","Nariño","Francisco Pizarro","","","0004","0001","0001","0001","","","0001","0002","",""
"52540","Nariño","Policarpa","","0002","0005","0002","","0002","","","","0024","",""
"52560","Nariño","Potosí","","0013","0014","","0002","0004","","","0002","0002","",""
"52565","Nariño","Providencia","","0002","","0001","","0001","","","","0002","",""
"52573","Nariño","Puerres","","0010","0011","0007","0006","0005","","","0001","","",""
"52585","Nariño","Pupiales","","0017","0016","0012","0006","0016","","","0001","0004","",""
"52612","Nariño","Ricaurte","","0005","0007","0001","","0003","","","0004","0010","",""
"52621","Nariño","Roberto Payán","","0001","0001","","","","","0001","0002","0001","",""
"52678","Nariño","Samaniego","","0014","0017","0009","0004","0005","","","0003","0028","0001",""
"52683","Nariño","Sandoná","","0017","0024","0008","0004","0009","0001","","0001","0001","0001",""
"52685","Nariño","San Bernardo","","0004","0003","0002","0002","0006","","","0001","","",""
"52687","Nariño","San Lorenzo","","0012","0008","0010","0002","0007","","","","0003","",""
"52693","Nariño","San Pablo","","0011","0008","0006","","0008","","","0004","0003","",""
"52694","Nariño","San Pedro de Cartago","","0002","0004","0001","0002","0003","","","","0001","",""
"52696","Nariño","Santa Bárbara","","","","0001","0001","0001","","","","","",""
"52699","Nariño","Santacruz","","0005","0006","0005","0001","0004","","","0003","0002","",""
"52720","Nariño","Sapuyes","","0005","0005","0004","0001","0006","","","0001","0001","",""
"52786","Nariño","Taminango","","0004","0016","0006","0004","0007","","","0008","0004","",""
"52788","Nariño","Tangua","","0006","0018","0005","","0002","","","0002","","0001",""
"52835","Nariño","San Andres de Tumaco","0002","0104","0086","0062","0031","0080","0002","","0060","0117","",""
"52838","Nariño","Túquerres","0001","0042","0042","0014","0006","0031","","","0008","0006","0001",""
"52885","Nariño","Yacuanquer","","0009","0007","0006","0001","0002","","","0001","","",""
"54001","Norte de Santander","Cúcuta","0001","0716","0703","0155","0185","0482","0007","0001","0123","0219","0010",""
"54003","Norte de Santander","Abrego","0002","0017","0044","0002","0006","0017","","","0012","0002","",""
"54051","Norte de Santander","Arboledas","","0008","0019","0002","0001","","","","0001","","",""
"54099","Norte de Santander","Bochalema","","0007","0003","0002","0001","0003","0001","","0001","0001","",""
"54109","Norte de Santander","Bucarasica","","0005","0001","","","0002","","","","","",""
"54125","Norte de Santander","Cácota","","0001","0004","","0001","0004","","","","","",""
"54128","Norte de Santander","Cachirá","0001","0004","0012","0004","0001","0004","","","0002","","",""
"54172","Norte de Santander","Chinácota","","0007","0019","0004","0002","0008","","","0003","","",""
"54174","Norte de Santander","Chitagá","","0001","0013","0003","0002","0008","","","0001","0003","",""
"54206","Norte de Santander","Convención","","0006","0009","0001","","0014","","","0003","0004","",""
"54223","Norte de Santander","Cucutilla","","0006","0007","0004","0002","0006","","","","","",""
"54239","Norte de Santander","Durania","","0006","0006","","","0004","","","","0001","",""
"54245","Norte de Santander","El Carmen","","0008","0006","0003","0004","0009","","","","0001","",""
"54250","Norte de Santander","El Tarra","","0006","0013","","0001","0002","","","0002","0007","0001",""
"54261","Norte de Santander","El Zulia","","0020","0022","0001","0005","0017","","","0008","0005","",""
"54313","Norte de Santander","Gramalote","","0002","0005","0005","","0001","","","","","",""
"54344","Norte de Santander","Hacarí","","0004","0002","","0001","0002","","","0001","0001","",""
"54347","Norte de Santander","Herrán","","0001","0001","0001","","","","","","","",""
"54377","Norte de Santander","Labateca","","0003","0002","0003","0001","0004","","","","","",""
"54385","Norte de Santander","La Esperanza","","0004","0002","","0001","0002","","","0001","0004","",""
"54398","Norte de Santander","La Playa","","0003","0002","0002","0001","0008","","","","0002","",""
"54405","Norte de Santander","Los Patios","","0051","0058","0011","0012","0028","","","0013","0009","",""
"54418","Norte de Santander","Lourdes","","0002","0001","","","0003","","","","0001","",""
"54480","Norte de Santander","Mutiscua","","0004","0001","0002","0002","0009","","","0001","","",""
"54498","Norte de Santander","Ocaña","0001","0097","0077","0047","0031","0115","0001","","0036","0038","",""
"54518","Norte de Santander","Pamplona","","0041","0064","0008","0013","0034","","","0007","0004","",""
"54520","Norte de Santander","Pamplonita","","0006","0004","","0002","","","","","0001","",""
"54553","Norte de Santander","Puerto Santander","","0007","0010","0005","0001","0006","","","0002","0005","",""
"54599","Norte de Santander","Ragonvalia","","0003","0005","0006","","0002","","","0001","","",""
"54660","Norte de Santander","Salazar","","0007","0007","0002","0001","0004","","","0001","","",""
"54670","Norte de Santander","San Calixto","","0001","0001","","","0002","","","","","",""
"54673","Norte de Santander","San Cayetano","","0001","0009","0001","","0005","","","0004","","",""
"54680","Norte de Santander","Santiago","","0001","0003","0003","","0002","","","","0004","",""
"54720","Norte de Santander","Sardinata","","0019","0018","0004","0001","0006","","","0003","0007","",""
"54743","Norte de Santander","Silos","","0002","0006","0005","0001","0004","","","","","",""
"54800","Norte de Santander","Teorama","","0001","0005","0008","","0002","","","","0001","",""
"54810","Norte de Santander","Tibú","","0023","0029","0006","0007","0022","","","0006","0024","",""
"54820","Norte de Santander","Toledo","0001","0013","0015","0003","0004","0012","","","","0001","",""
"54871","Norte de Santander","Villa Caro","","0004","0005","0002","0001","0004","","","","0004","",""
"54874","Norte de Santander","Villa del Rosario","0001","0047","0062","0012","0015","0027","","","0005","0023","",""
"63001","Quindío","Armenia","","0400","0432","0049","0059","0275","0014","","0079","0188","",""
"63111","Quindío","Buenavista","","0004","0004","","0002","0004","","","","","",""
"63130","Quindío","Calarca","0001","0100","0134","0012","0012","0054","0002","","0010","0024","",""
"63190","Quindío","Circasia","0002","0035","0038","0008","0004","0023","","","0007","0003","",""
"63212","Quindío","Córdoba","","0006","0006","","0001","0005","","","","0001","",""
"63272","Quindío","Filandia","","0008","0016","0002","0002","0010","0001","","","0002","",""
"63302","Quindío","Génova","","0008","0005","0002","0002","0002","","","0002","0003","",""
"63401","Quindío","La Tebaida","","0030","0032","0013","0008","0027","","","0005","0016","",""
"63470","Quindío","Montenegro","","0031","0063","0007","0010","0035","0001","","0006","0017","",""
"63548","Quindío","Pijao","","0010","0010","0001","0002","0006","","","0001","0002","",""
"63594","Quindío","Quimbaya","","0039","0043","0008","0007","0029","","","0001","0014","",""
"63690","Quindío","Salento","","0005","0010","0002","0001","0006","","","","0002","",""
"66001","Risaralda","Pereira","0003","0684","0623","0056","0108","0361","0008","","0114","0201","0007",""
"66045","Risaralda","Apía","","0013","0027","","","0015","","","0001","0012","",""
"66075","Risaralda","Balboa","","0002","0006","0002","0002","0003","","","","0003","",""
"66088","Risaralda","Belén de Umbría","","0030","0048","0003","0003","0018","0001","","0001","0009","",""
"66170","Risaralda","Dosquebradas","","0215","0199","0028","0030","0131","0004","","0029","0036","0003",""
"66318","Risaralda","Guática","","0006","0023","0003","0003","0002","0001","","","0002","",""
"66383","Risaralda","La Celia","","0012","0009","","0003","0005","","","0002","0001","",""
"66400","Risaralda","La Virginia","","0037","0055","0004","0006","0028","","","0002","0020","",""
"66440","Risaralda","Marsella","","0021","0014","0008","0005","0019","","","0001","0005","",""
"66456","Risaralda","Mistrató","","0016","0007","0003","0001","0005","","","0001","0001","",""
"66572","Risaralda","Pueblo Rico","","0008","0011","0001","0002","0009","","","0001","0005","",""
"66594","Risaralda","Quinchía","","0025","0031","0003","0005","0022","0001","","0002","0005","",""
"66682","Risaralda","Santa Rosa de Cabal","","0085","0105","0012","0015","0049","0002","","0010","0026","",""
"66687","Risaralda","Santuario","0001","0011","0022","","0003","0008","","","0002","0002","",""
"68001","Santander","Bucaramanga","0002","0758","0708","0101","0169","0485","0006","","0128","0117","0001",""
"68013","Santander","Aguada","","0001","0003","0001","","0003","","","","","",""
"68020","Santander","Albania","","0005","0002","","","0004","","","","0001","",""
"68051","Santander","Aratoca","0001","0005","0009","0003","0002","0001","","","0002","","",""
"68077","Santander","Barbosa","","0013","0046","0008","0003","0013","","","0007","0002","",""
"68079","Santander","Barichara","","0005","0010","","0002","0005","","","","0001","",""
"68081","Santander","Barrancabermeja","0002","0175","0299","0035","0052","0117","0002","","0035","0069","0001",""
"68092","Santander","Betulia","","0005","0006","0002","","0002","","","0002","","",""
"68101","Santander","Bolívar","","0013","0012","0003","0002","0005","","","0001","","",""
"68121","Santander","Cabrera","","0001","0002","0001","","","","","0001","","",""
"68132","Santander","California","","","0001","","","","","","","","",""
"68147","Santander","Capitanejo","0001","0007","0015","","0001","0009","","","0001","","",""
"68152","Santander","Carcasí","","0003","0002","0001","","0001","","","","0001","",""
"68160","Santander","Cepitá","","0001","0002","","","0001","","","","","",""
"68162","Santander","Cerrito","","0002","0002","0001","","0003","","","0001","","",""
"68167","Santander","Charalá","","0005","0019","0002","0005","0009","","","","0002","",""
"68169","Santander","Charta","","0004","0002","0001","0001","","","","","0001","",""
"68176","Santander","Chima","","0002","0003","","","0001","","","","","",""
"68179","Santander","Chipatá","","0004","0003","0003","0001","0001","","","0001","","",""
"68190","Santander","Cimitarra","","0009","0031","0005","0004","0009","","","0013","0005","",""
"68207","Santander","Concepción","","0003","0011","0001","0002","0005","","","","","",""
"68209","Santander","Confines","","0001","0006","0001","","","","","","0001","",""
"68211","Santander","Contratación","","0002","0005","0001","0003","0007","","","","0001","",""
"68217","Santander","Coromoro","","0003","0004","0003","0002","0002","","","","","",""
"68229","Santander","Curití","","0005","0016","0004","0001","0003","","","0002","","",""
"68235","Santander","El Carmen de Chucurí","","0004","0005","0003","0004","0007","","","","","",""
"68245","Santander","El Guacamayo","","0001","0001","","","0001","","","","","",""
"68250","Santander","El Peñón","","0001","0002","","","0002","","","0002","0001","",""
"68255","Santander","El Playón","","0006","0017","0003","","0008","","","0002","","",""
"68264","Santander","Encino","","0001","0001","0004","","0001","","","0001","","",""
"68266","Santander","Enciso","","0003","0005","0004","","0003","","","","","",""
"68271","Santander","Florián","","0002","0012","0001","","0002","","","","","",""
"68276","Santander","Floridablanca","0002","0261","0264","0024","0063","0129","0003","","0020","0014","0001",""
"68296","Santander","Galán","","","0004","0007","","0002","","","","0001","",""
"68298","Santander","Gambita","","0005","0007","0002","","0003","","","","","",""
"68307","Santander","Girón","","0101","0116","0010","0045","0073","0003","","0012","0015","",""
"68318","Santander","Guaca","","0005","0007","","","0002","","","","","",""
"68320","Santander","Guadalupe","","","0012","0003","","0001","","","","0001","",""
"68322","Santander","Guapotá","","0002","","0001","0001","0001","","","","","",""
"68324","Santander","Guavatá","","0002","0014","","","0001","","","","","",""
"68327","Santander","Güepsa","","0002","0004","","0001","0003","","","","","",""
"68344","Santander","Hato","","","","","","0002","","","","","",""
"68368","Santander","Jesús María","","","0005","0001","","0003","","","","","",""
"68370","Santander","Jordán","","0001","0002","","0001","","","","","","",""
"68377","Santander","La Belleza","","0002","0008","0005","0001","","","","","","",""
"68385","Santander","Landázuri","","0013","0021","0001","0002","0008","","","","","",""
"68397","Santander","La Paz","","0002","0008","0003","","0002","","","","0001","",""
"68406","Santander","Lebríja","","0016","0037","0001","0005","0020","","","0008","0002","",""
"68418","Santander","Los Santos","","0006","0010","0002","","","","","0003","","",""
"68425","Santander","Macaravita","","0004","0002","","0001","0001","","","","","",""
"68432","Santander","Málaga","","0023","0038","0006","0006","0021","","","0003","0002","",""
"68444","Santander","Matanza","","","0003","0003","0003","0004","","","","","",""
"68464","Santander","Mogotes","","0002","0018","0001","0001","0010","","","0004","","",""
"68468","Santander","Molagavita","","0002","0005","0001","0001","0004","","","0001","","",""
"68498","Santander","Ocamonte","","0003","0003","0003","","0004","","","","","",""
"68500","Santander","Oiba","","0004","0010","0004","0002","0002","","","0001","0001","",""
"68502","Santander","Onzaga","","0007","0011","","","0001","0001","","0002","0001","",""
"68522","Santander","Palmar","","","0002","","","","","","","","",""
"68524","Santander","Palmas del Socorro","","0002","0004","","0001","0004","","","0001","","",""
"68533","Santander","Páramo","","0003","0007","0002","0001","0003","","","","0001","",""
"68547","Santander","Piedecuesta","0002","0117","0130","0012","0028","0057","0001","","0014","0011","",""
"68549","Santander","Pinchote","","0004","0001","","","0002","","","","","",""
"68572","Santander","Puente Nacional","","0008","0025","0002","0004","0019","","","","0003","",""
"68573","Santander","Puerto Parra","","0004","0007","0002","0003","0005","","","0003","","",""
"68575","Santander","Puerto Wilches","","0017","0021","0002","0003","0011","","","0003","0006","",""
"68615","Santander","Rionegro","","0016","0027","0004","0004","0013","","","0003","0003","",""
"68655","Santander","Sabana de Torres","","0012","0013","0013","0004","0012","","","0015","0002","",""
"68669","Santander","San Andrés","","0009","0017","","","0007","","","","0001","",""
"68673","Santander","San Benito","","","0004","0002","","0002","","","","","",""
"68679","Santander","San Gil","","0049","0076","0014","0014","0031","0001","","0009","0005","",""
"68682","Santander","San Joaquín","","","0005","0002","","","","","","","",""
"68684","Santander","San José de Miranda","","0006","0006","0001","0002","0003","","","0001","","",""
"68686","Santander","San Miguel","","0003","0006","","","0001","","","","","",""
"68689","Santander","San Vicente de Chucurí","0002","0020","0023","0002","0005","0019","","","0002","0002","",""
"68705","Santander","Santa Bárbara","","","0002","","","","","","","","",""
"68720","Santander","Santa Helena del Opón","","0003","","","0001","0001","","","","","",""
"68745","Santander","Simacota","","0001","0004","0001","0001","0006","","","0002","","",""
"68755","Santander","Socorro","","0034","0041","0013","0011","0020","0002","","0003","0002","",""
"68770","Santander","Suaita","","0006","0013","0001","0001","0009","","","0002","0002","",""
"68773","Santander","Sucre","","0003","0002","0004","","0003","","","","0001","",""
"68780","Santander","Suratá","","0001","","","","0001","","","0001","","",""
"68820","Santander","Tona","","0001","0006","0005","","0004","","","0002","","",""
"68855","Santander","Valle de San José","","0003","0013","0002","","0003","","","0001","","",""
"68861","Santander","Vélez","","0019","0034","0007","0005","0016","","","0004","0003","",""
"68867","Santander","Vetas","","","0004","","0001","0002","","","","","",""
"68872","Santander","Villanueva","","0007","0016","0002","0002","0003","0001","","","0001","",""
"68895","Santander","Zapatoca","","0009","0011","0003","0001","0011","0001","","","","",""
"70001","Sucre","Sincelejo","0001","0197","0249","0078","0088","0176","0002","","0059","0069","",""
"70110","Sucre","Buenavista","","0006","0012","0002","0004","0005","","","0001","","",""
"70124","Sucre","Caimito","","0005","0010","0002","0001","0006","","","0001","","",""
"70204","Sucre","Coloso","","0003","0006","0001","0001","0002","","","","","",""
"70215","Sucre","Corozal","","0038","0082","0017","0017","0036","","","0009","0007","",""
"70221","Sucre","Coveñas","","0009","0003","0007","","0003","","","0002","0004","",""
"70230","Sucre","Chalán","","0001","0002","","","0002","","","","","",""
"70233","Sucre","El Roble","","0010","0007","0005","0001","0004","","","","","",""
"70235","Sucre","Galeras","","0009","0018","0003","","0008","","","0001","","0001",""
"70265","Sucre","Guaranda","","0004","0009","0001","","0001","","","0001","0004","",""
"70400","Sucre","La Unión","","0005","0012","0007","0002","0005","","","","","",""
"70418","Sucre","Los Palmitos","","0009","0029","0004","0003","0006","","","0003","0001","0001",""
"70429","Sucre","Majagual","0001","0004","0013","0001","0003","0009","","","0003","","",""
"70473","Sucre","Morroa","","0007","0008","0004","0001","0005","","","0001","","",""
"70508","Sucre","Ovejas","","0008","0018","0002","0007","0009","","","0001","0001","",""
"70523","Sucre","Palmito","","0004","0007","0002","","0004","","","0001","","",""
"70670","Sucre","Sampués","","0012","0047","0004","0005","0012","","","0002","0001","",""
"70678","Sucre","San Benito Abad","","0010","0024","0004","0002","0006","","","","","",""
"70702","Sucre","San Juan de Betulia","","0009","0011","0001","0002","0008","","","","","",""
"70708","Sucre","San Marcos","","0018","0038","0008","0005","0019","","","0006","0009","",""
"70713","Sucre","San Onofre","0001","0017","0044","0011","0007","0023","","","0005","0004","0002",""
"70717","Sucre","San Pedro","","0013","0025","0014","0005","0008","","","","0001","",""
"70742","Sucre","San Luis de Sincé","","0023","0055","0012","0007","0018","","","0003","0001","",""
"70771","Sucre","Sucre","","0013","0023","0005","0003","0008","","","0002","0002","",""
"70820","Sucre","Santiago de Tolú","0001","0007","0019","0005","0004","0008","","","0005","0009","",""
"70823","Sucre","Tolú Viejo","","0008","0020","0004","0002","0005","","","0003","0001","",""
"73001","Tolima","Ibagué","0003","0602","0773","0094","0116","0372","0007","","0106","0113","",""
"73024","Tolima","Alpujarra","","0003","0013","","0001","0008","","","0001","","",""
"73026","Tolima","Alvarado","","0010","0014","0001","0003","0008","","","0003","0001","",""
"73030","Tolima","Ambalema","","0009","0023","","0004","0006","","","0001","0006","",""
"73043","Tolima","Anzoátegui","","0011","0010","","","0005","","","0001","0003","",""
"73055","Tolima","Armero","","0008","0032","0001","0002","0010","","","0004","0001","",""
"73067","Tolima","Ataco","","0008","0016","0004","0002","0007","","","0003","0010","",""
"73124","Tolima","Cajamarca","","0023","0020","0005","0002","0009","","","0004","0005","",""
"73148","Tolima","Carmen de Apicalá","","0008","0019","0002","0001","0011","","","0002","","",""
"73152","Tolima","Casabianca","","0003","0005","0006","0002","0003","","","0001","0004","",""
"73168","Tolima","Chaparral","","0038","0089","0010","0005","0039","","","0011","0009","",""
"73200","Tolima","Coello","","0008","0019","0016","0003","0009","","","","0001","",""
"73217","Tolima","Coyaima","","0013","0061","0003","0001","0023","","","0008","0003","",""
"73226","Tolima","Cunday","","0008","0033","0002","0001","0006","","","0004","","",""
"73236","Tolima","Dolores","","0005","0020","","0002","0005","","","0002","0001","",""
"73268","Tolima","Espinal","","0090","0175","0017","0021","0085","0004","","0027","0013","",""
"73270","Tolima","Falan","","0004","0005","0006","0002","0002","","","0002","","",""
"73275","Tolima","Flandes","","0024","0049","0006","0011","0025","","","0003","0015","",""
"73283","Tolima","Fresno","","0020","0076","0004","0004","0010","","","0008","0007","0001",""
